epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6856,1.47839,2.2534,1.46034,0.44617,0.51396,0.45316,0.25315,1.49557,2.20152,1.55188,0.000465978,0.000465978,0.000465978
2,104.996,1.45367,1.55799,1.44774,0.23446,0.30812,0.16018,0.06924,2.12856,5.80745,2.7109,0.000937647,0.000937647,0.000937647
3,146.458,1.50364,1.60485,1.47804,0.13649,0.10342,0.04568,0.0191,3.04635,inf,3.84536,0.0014046,0.0014046,0.0014046
4,188.672,1.50123,1.59256,1.48185,0.2877,0.32446,0.22534,0.10465,2.11242,3.63,2.63443,0.00140778,0.00140778,0.00140778
5,230.786,1.46443,1.48912,1.45055,0.38385,0.41435,0.35327,0.18077,1.81285,3.95328,1.92764,0.00140071,0.00140071,0.00140071
6,272.777,1.41778,1.40591,1.41702,0.51186,0.41796,0.41932,0.22797,1.64956,2.15476,1.68574,0.00139363,0.00139363,0.00139363
7,314.488,1.39476,1.33698,1.4042,0.65004,0.61658,0.6379,0.37939,1.44181,1.41901,1.4302,0.00138656,0.00138656,0.00138656
8,356.623,1.38463,1.30323,1.39211,0.74277,0.63918,0.70786,0.44083,1.41318,1.48275,1.42228,0.00137949,0.00137949,0.00137949
9,398.815,1.34857,1.26341,1.37071,0.68709,0.66291,0.6974,0.42497,1.39993,1.21854,1.40349,0.00137241,0.00137241,0.00137241
10,440.749,1.33842,1.21688,1.35689,0.71273,0.58462,0.65273,0.38455,1.47833,1.38136,1.46147,0.00136534,0.00136534,0.00136534
11,482.74,1.31331,1.17773,1.3528,0.74162,0.70921,0.75361,0.49347,1.28432,1.02604,1.30196,0.00135826,0.00135826,0.00135826
12,524.394,1.30178,1.14721,1.33897,0.74375,0.63947,0.71781,0.45701,1.35684,1.15122,1.35423,0.00135119,0.00135119,0.00135119
13,566.151,1.26803,1.08746,1.31521,0.72041,0.69936,0.76243,0.51705,1.2666,0.98252,1.30221,0.00134412,0.00134412,0.00134412
14,608.034,1.26542,1.07309,1.32048,0.8162,0.74253,0.82206,0.56029,1.21095,0.91724,1.2363,0.00133704,0.00133704,0.00133704
15,649.679,1.26163,1.05329,1.30813,0.77803,0.68327,0.7581,0.50948,1.26053,1.0473,1.28515,0.00132997,0.00132997,0.00132997
16,691.68,1.23047,1.01398,1.28597,0.81401,0.77552,0.84367,0.58089,1.19281,0.88226,1.2218,0.0013229,0.0013229,0.0013229
17,733.295,1.22512,0.9826,1.28699,0.73152,0.65797,0.7309,0.4857,1.36141,1.06776,1.34365,0.00131582,0.00131582,0.00131582
18,775.192,1.21515,0.98502,1.27715,0.84742,0.79339,0.8627,0.60309,1.1747,0.78356,1.20413,0.00130875,0.00130875,0.00130875
19,817.178,1.19296,0.9752,1.26446,0.85109,0.80919,0.87025,0.61305,1.13868,0.75075,1.19127,0.00130168,0.00130168,0.00130168
20,858.946,1.21649,0.97194,1.27765,0.83039,0.79237,0.84424,0.59024,1.15712,0.79908,1.19439,0.0012946,0.0012946,0.0012946
21,901.063,1.20943,0.95797,1.26603,0.79964,0.789,0.84117,0.59531,1.13571,0.81113,1.18163,0.00128753,0.00128753,0.00128753
22,943.006,1.18638,0.93824,1.2583,0.75339,0.68808,0.76777,0.53161,1.2193,1.07595,1.24836,0.00128046,0.00128046,0.00128046
23,984.712,1.17972,0.91586,1.25319,0.851,0.79346,0.86664,0.61649,1.14754,0.71853,1.19215,0.00127338,0.00127338,0.00127338
24,1026.49,1.157,0.91097,1.24329,0.81247,0.73998,0.80292,0.54542,1.24224,0.90251,1.26131,0.00126631,0.00126631,0.00126631
25,1068.25,1.12736,0.86654,1.21821,0.90565,0.83628,0.90908,0.65855,1.07794,0.6315,1.13512,0.00125923,0.00125923,0.00125923
